Lattitude,Longitude,Restaurant,State
-85.02866999999999,32.46836,BurgerKing,AL
-85.02415,32.485490000000006,BurgerKing,AL
-86.42262,32.460370000000005,BurgerKing,AL
-88.11067750000001,30.7445749,BurgerKing,AL
-86.03579,33.959379999999996,BurgerKing,AL
-85.85173,34.496790000000004,BurgerKing,AL
-86.647774,34.68404,BurgerKing,AL
-85.35866,33.15033,BurgerKing,AL
-87.70819,30.544,BurgerKing,AL
-87.71751,34.51435,BurgerKing,AL
-88.06875,30.829109999999996,BurgerKing,AL
-86.0481,34.63089,BurgerKing,AL
-87.03517,32.43111,BurgerKing,AL
-88.23269,30.767559999999996,BurgerKing,AL
-86.25417,33.16746,BurgerKing,AL
-86.09781,33.43544,BurgerKing,AL
-86.77411,33.5835,BurgerKing,AL
-87.737092,31.940595000000002,BurgerKing,AL
-85.95895,31.784029999999998,BurgerKing,AL
-87.56841,33.20541,BurgerKing,AL
-87.55079,33.19908,BurgerKing,AL
-87.54058,33.23379,BurgerKing,AL
-87.52486999999999,33.17434,BurgerKing,AL
-87.47108,33.176320000000004,BurgerKing,AL
-87.70387,34.714459999999995,BurgerKing,AL
-85.69321,32.4271,BurgerKing,AL
-85.18295,32.84592,BurgerKing,AL
-86.21075,32.524029999999996,BurgerKing,AL
-87.8177,33.9289,BurgerKing,AL
-93.08384000000001,34.12093,BurgerKing,AR
-91.62807,35.76938,BurgerKing,AR
-92.57229,34.58189,BurgerKing,AR
-89.86978,35.928940000000004,BurgerKing,AR
-92.49824,34.62085,BurgerKing,AR
-92.02839,34.97773,BurgerKing,AR
-91.95861,34.93779,BurgerKing,AR
-92.49082,35.09109,BurgerKing,AR
-92.42775999999999,35.09169,BurgerKing,AR
-93.16253,35.22117,BurgerKing,AR
-92.66548,33.22903,BurgerKing,AR
-90.7895,35.03329,BurgerKing,AR
-92.02920999999999,35.50679,BurgerKing,AR
-93.60377,33.67931,BurgerKing,AR
-93.06,34.47504,BurgerKing,AR
-93.05309,34.50345,BurgerKing,AR
-93.05641999999999,34.653940000000006,BurgerKing,AR
-93.05742,34.47325,BurgerKing,AR
-92.14065,34.893570000000004,BurgerKing,AR
-92.12524,34.8682,BurgerKing,AR
-92.10954,34.88487,BurgerKing,AR
-90.67787,35.82806,BurgerKing,AR
-90.66457,35.73803,BurgerKing,AR
-92.41113,34.75087,BurgerKing,AR
-92.4087,34.710879999999996,BurgerKing,AR
-92.40083,34.77248,BurgerKing,AR
-92.3669,34.75282,BurgerKing,AR
-92.34231,34.72242,BurgerKing,AR
-92.3412,34.75237,BurgerKing,AR
-92.33991999999999,34.675509999999996,BurgerKing,AR
-92.31766,34.75127,BurgerKing,AR
-93.22601,33.266909999999996,BurgerKing,AR
-92.89625,34.45525,BurgerKing,AR
-91.80221,33.62871,BurgerKing,AR
-92.27268000000001,34.79356,BurgerKing,AR
-92.26399,34.75608,BurgerKing,AR
-92.21461,34.789,BurgerKing,AR
-92.20054,34.77612,BurgerKing,AR
-90.69968,36.025040000000004,BurgerKing,AR
-92.04359000000001,34.23303,BurgerKing,AR
-92.00643000000001,34.16942,BurgerKing,AR
-92.00313,34.216359999999995,BurgerKing,AR
-90.96104,36.250479999999996,BurgerKing,AR
-93.15715,35.27329,BurgerKing,AR
-93.11561,35.27823,BurgerKing,AR
-91.69781,35.25033,BurgerKing,AR
-90.57305,35.553709999999995,BurgerKing,AR
-90.1944,35.1462,BurgerKing,AR
-90.15739,35.158409999999996,BurgerKing,AR
-90.78204000000001,35.2463,BurgerKing,AR
-112.08698000000001,33.87166,BurgerKing,AZ
-111.55256999999999,33.41536,BurgerKing,AZ
-111.5286,33.38836,BurgerKing,AZ
-112.3051,33.4353,BurgerKing,AZ
-112.29035,33.49146,BurgerKing,AZ
-112.59109,33.43187,BurgerKing,AZ
-114.58559,35.12188,BurgerKing,AZ
-111.87416,34.56562,BurgerKing,AZ
-111.74418,32.879690000000004,BurgerKing,AZ
-111.69102,32.87956,BurgerKing,AZ
-111.67182700000001,32.813299,BurgerKing,AZ
-111.94845,33.30513,BurgerKing,AZ
-111.9268,33.31977,BurgerKing,AZ
-111.87592,33.32079,BurgerKing,AZ
-111.85843999999999,33.277390000000004,BurgerKing,AZ
-111.84149,33.320879999999995,BurgerKing,AZ
-111.84116000000002,33.24885,BurgerKing,AZ
-111.85926,33.34939,BurgerKing,AZ
-112.00126999999999,34.72149,BurgerKing,AZ
-110.87521000000001,32.186409999999995,BurgerKing,AZ
-111.66151,35.18423,BurgerKing,AZ
-111.38885,33.019659999999995,BurgerKing,AZ
-114.59782,35.01775,BurgerKing,AZ
-111.72998,33.60845,BurgerKing,AZ
-112.72433000000001,32.94583,BurgerKing,AZ
-111.80708999999999,33.378040000000006,BurgerKing,AZ
-111.7899,33.35859,BurgerKing,AZ
-111.75581000000001,33.30754,BurgerKing,AZ
-111.75542,33.3376,BurgerKing,AZ
-112.26693,33.50863,BurgerKing,AZ
-112.22478000000001,33.639759999999995,BurgerKing,AZ
-112.22368999999999,33.63845,BurgerKing,AZ
-112.21986000000001,33.538129999999995,BurgerKing,AZ
-112.20277,33.667159999999996,BurgerKing,AZ
-112.20268999999999,33.58185,BurgerKing,AZ
-112.18517,33.50973,BurgerKing,AZ
-112.18441999999999,33.61061,BurgerKing,AZ
-112.16853,33.56765,BurgerKing,AZ
-112.15398,33.5386,BurgerKing,AZ
-112.35847,33.45044,BurgerKing,AZ
-114.00856999999999,35.219770000000004,BurgerKing,AZ
-114.34546999999999,34.475120000000004,BurgerKing,AZ
-111.87883000000001,33.3639,BurgerKing,AZ
-111.86833999999999,33.3933,BurgerKing,AZ
-111.85741000000002,33.42233,BurgerKing,AZ
-111.84026000000001,33.38943,BurgerKing,AZ
-111.83991999999999,33.4517,BurgerKing,AZ
-111.80698000000001,33.41535,BurgerKing,AZ
-111.78733999999999,33.39345,BurgerKing,AZ
-111.77248999999999,33.42284,BurgerKing,AZ
-111.75278,33.37935,BurgerKing,AZ
-111.70451000000001,33.45172,BurgerKing,AZ
-111.6841,33.38382,BurgerKing,AZ
-111.63355,33.41555,BurgerKing,AZ
-114.59778999999999,34.880590000000005,BurgerKing,AZ
-110.95728999999999,32.39852,BurgerKing,AZ
-114.28658,34.15136,BurgerKing,AZ
-111.32279,34.23788,BurgerKing,AZ
-112.25544,33.58064,BurgerKing,AZ
-112.24023000000001,33.609790000000004,BurgerKing,AZ
-112.23813,33.46577,BurgerKing,AZ
-112.22282,33.4228,BurgerKing,AZ
-112.21892,33.49454,BurgerKing,AZ
-112.16953000000001,33.46614,BurgerKing,AZ
-112.15205,33.4951,BurgerKing,AZ
-112.13561000000001,33.63935,BurgerKing,AZ
-112.13537,33.45128,BurgerKing,AZ
-112.13399,33.40825,BurgerKing,AZ
-112.13365,33.60946,BurgerKing,AZ
